Tess Small Bead Bracelet with Swarovski Crystal,Dainty designs and pretty patterns enhanced by tiny crystal spacers.  Perfect when you want to sport a little sparkle!,68,Bracelet SB CR,1
Tess Small Bead Bracelet with Bali Sterling Silver,"This diminutive, yet distinctive combination suggests a quiet elegance. Reserved and refined, its Bali sterling silver still says STYLE!",70,Bracelet SB BS,1
Tess Large Bead Bracelet with Silver Plate Rounds,The Silver Plate Bracelets are the most affordable of the She Beads bracelets. These bracelets are strung with 3-ply elastic and silver plated findings.,45,Bracelet LB SP,1
Tess Large Bead Bracelet All Clay,"For a truly artist inspired look, go all the way with an all clay!  Large and small bead combinations offer amazing combinations of our handmade clay designs.  Remember, ALL CLAY means ALL ART!",62,Bracelet LB AC,1
Tess Large Bead Bracelet with Sterling Silver Rounds,"Less is MORE!  So why not pick up this nicely priced pretty?  Our big, beautiful beads, matched with stunning sterling.  At this price, better grab a stack!",69,Bracelet LB SR,1
Tess Large Bead Bracelet Bali Sterling Silver,Artisan wrought Bali sterling silver accents the delicate intricacies of our hand designed clay patterns.  Crafted for the individual in you!,93,Bracelet LB BS,1
Tess Large Bead Bracelet with Swarovski Crystal,"Slip-on ELEGANCE! This is the definitive She Beads bracelet. No collection is complete without #1 stackable stunner. You'll be ""living large"" with beads to match!",98,Bracelet LB CR,1
Tess Small Bead Necklace with Silver Plate Rounds,The Silver Plate Necklaces are the most affordable of the She Beads necklaces. These necklaces are strung with 3-ply elastic and silver plated findings.,65,Necklace SB SP,1
Tess Small Bead Necklace All Clay,This hand rolled clay bead necklace is smart and simple.  Remember ALL CLAY means ALL ART!,120,Necklace SB AC,1
Tess Small Bead Necklace with Sterling Silver Rounds,"Priced right, this necklace combines our small beads, with just the right touch of shine.  Sterling silver rounds create the “luxe look” for less!",125,Necklace SB SR,1
Tess Small Bead Necklace with Bali Sterling Silver,Add grace and style to any ensemble when you accessorize with a touch of Bali sterling silver.  These intricately crafted spacers perfectly compliment our hand made clay designs.,165,Necklace SB BS,1
Tess Small Bead Necklace with Swarovski Crystal,Dainty designs and pretty patterns enhanced by tiny crystal spacers.  Perfect when you want to sport a little sparkle!,160,Necklace SB CR,1
Tess Large Bead Necklace with Silver Plate Rounds,The Silver Plate Necklaces are the most affordable of the She Beads necklaces. These necklaces are strung with 3-ply elastic and silver plated findings.,85,Necklace LB SP,1
Tess Large Bead Necklace All Clay,"Bigger IS better!  Our large bead necklace offers bigger, bolder designs.  We’ve alternated large and small beads to create this all clay collectible.  Remember, ALL CLAY means ALL ART!",140,Necklace LB AC,1
Tess Large Bead Necklace with Sterling Silver Rounds,"Priced right, this necklace combines our large beads, with just the right touch of shine.  Sterling silver rounds create the “luxe look” for less!",145,Necklace LB SR,1
Tess Large Bead Necklace with Bali Sterling Silver,Add grace and style to any ensemble when you accessorize with a touch of Bali sterling silver.  These intricately crafted spacers perfectly compliment our hand made clay designs.,195,Necklace LB BS,1
Tess Large Bead Necklace with Swarovski Crystal,Bold designs and pretty patterns enhanced by these blinging crystal spacers.  Perfect when you want to brighten your already gleeming smile!,215,Necklace LB CR,1
Tess Jumbo Bead Necklace with Swarovski Crystal,"Whether you are out for coffee with the girls or at the symphony with the beau, these large beads coupled with Swarovski Crystal make an exquisite necklace for any midsummer night’s dream…",225,Necklace JB CR,1
Tess Jumbo Bead Necklace with Bali Sterling Silver,"Whether you are out for coffee with the girls or at the symphony with the beau, these large beads coupled with Sterling Silver make an exquisite necklace for any midsummer night’s dream…",240,Necklace JB BS,1
Tess Clutch Key Chain,This four-bead buddy makes any key look custom! Its distinctive design makes it easy to spot and sport!,37,Keychain Clutch,1
Tess Wrist Key Chain All Clay,"Our couture key companion gives you a simple and stylish way to simplify your life. The oversized bead designs make organization, fashionable and FUN!",70,Keychain Wrist AC,1
Tess Wrist Key Chain with Silver Plate Rounds,"Our couture key companion gives you a simple and stylish way to simplify your life. The oversized bead designs make organization, fashionable and FUN!",55,Keychain Wrist SP,1
Tess Bauble Key Chain,"Big, bigger, BAUBLE! This fashion forward fob gives your keys the royal treatment. With a dash a Swarovski crystal it’s gorgeous, and good to GO!",38,Keychain Bauble,1
Tess Small Bead Watch with All Clay,"Function meets fashion with the She Beads signature watch. A double band of our small clay beads keep you up to the minute, perfectly in style!",138,Watch SB AC,1
Tess Post Earrings,Art for the EARS!  These earrings feature one-of-a-kind designs and a sterling silver post.  Keeping it simple never looked so special!,14,Earrings Post,1
Tess Small Bead Earrings All Clay,This feminine sterling silver earring pair is the perfect match with any of the She Beads jewelry pieces in your collection.,20,Earrings SB AC,1
Tess Small Bead Earrings with Swarovski Crystal,Add a little light to your day and night.  It's the perfect accent to the twinkle in your eyes!  Our sterling silver French clip lets you add elegance to your ears. <BR> <BR> NEW CLIP-ON's! (choose the option below if you prefer clip-on earrings),28,Earrings SB CR,1
Tess Large Bead Earrings All Clay,"Our small and large bead, nestle together on this sterling silver French clip classic.  It's a delicate dangle, with a designer flair! The Triple Crystal Earrings drop much lower than the others, creating a very elegant style! <BR> <BR> NEW CLIP-ON's! (choose the option below if you prefer clip-on earrings)",28,Earrings Double AC,1
Tess Large Bead Earrings with Swarovski Crystal,This dual bead sparkler will light up any occasion!  Swarovski crystal and its sterling silver French clip make it doubly delightful. <BR> <BR> NEW CLIP-ON's! (choose the option below if you prefer clip-on earrings!),36,Earrings Double CR,1
Tess Triple Earrings All Clay,"The NEWEST of earring designs! The Triple Earrings drop much lower than the others, creating a very elegant style!<BR> <BR> NEW CLIP-ON's! (choose the option below if you prefer clip-on earrings)",36,Earrings Triple AC,1
Tess Triple Earrings with Swarovski Crystal,"The NEWEST of earring designs! The Triple Earrings drop much lower than the others, creating a very elegant style!<BR> <BR> NEW CLIP-ON's! (choose the option below if you prefer clip-on earrings)",48,Earrings Triple CR,1
Tess Cross Pendant,"This two-sided clay creation does double the duty! Inlaid in silver, one side features a black and white motif design. The flip side is all about your color! Its sterling silver bail attaches easily to any She Beads bracelet or necklace, or even a ribbon of your choice!",45,Pendant-Cross/Tear/Oval,1
Tess Square Bead,"She Beads Squares are the fun, funky, fashionable jewelry addition to your add a bead charm bracelet! They easily slide onto and off of the leading add-a-bead charm bracelets! With so many different styles, we can't even pick a favorite!",10,"SOLO - Bead, Square",1
Tess Lanyard,"This functional companion gives you a simple and stylish way to sport your name badge, glasses, or even needlepoint scissors for the crafty creators!",36,Lanyard,1
Jagger Small Bead Bracelet,"HE beads hand rolled clay bead bracelet is the perfect accessory when you want to dress-up your act a bit. Effortlessly hip, they compliment any wardrobe. Simple, easy to wear, no care comfort.",48,Bracelet SB AC He Beads,1
Jagger Large Bead Bracelet,"HE beads hand rolled clay bead bracelet is the perfect accessory when you want to dress-up your act a bit. Effortlessly hip, they compliment any wardrobe. Simple, easy to wear, no care comfort.",70,Bracelet LB AC He Beads,1
Jagger Cuff Links Orange,"In the limited world of men's fashion, DETAIL makes the difference! Our HE bead cufflinks feature the handmade designs with a stylish silver toggle. Board room doesn't have to mean ""bored"" room.",38,Cuff Links,1
Jagger Small Bead Necklace,"A smart contemporary accessory for the man who wants a unique and distinctive way to set himself apart. No clasps or chains. Just a cool, comfortable, hand-designed clay beads.",120,Necklace SB AC He Beads,1
Jagger Cuff Links Blue,"In the limited world of men's fashion, DETAIL makes the difference! Our HE bead cufflinks feature the handmade designs with a stylish silver toggle. Board room doesn't have to mean ""bored"" room.",38,Cuff Links,1
